SalePrice,Area,Price/m2,Width,Length,Location
185.0,75.0,2.47,5.0,15.0,huyen hoa vang
2590.0,100.0,25.9,5.0,20.0,quan cam le
5200.0,105.0,49.52,5.0,21.0,quan lien chieu
2500.0,100.0,25.0,5.0,20.0,quan cam le
2590.0,100.0,25.9,5.0,20.0,quan cam le
1000.0,100.0,10.0,5.0,20.0,huyen hoa vang
2200.0,123.0,17.89,8.2,14.0,quan son tra
3800.0,105.0,36.19,5.0,20.0,quan lien chieu
3150.0,100.0,31.5,5.0,20.0,quan cam le
1450.0,100.0,14.5,5.0,20.0,quan lien chieu
560.0,115.0,4.87,5.0,21.0,huyen hoa vang
1050.0,161.0,6.52,9.0,12.0,huyen hoa vang
570.0,100.0,5.7,4.0,24.0,huyen hoa vang
4800.0,100.0,48.0,4.0,24.0,quan ngu hanh son
596.0,120.0,4.97,5.0,24.0,huyen hoa vang
3200.0,102.0,31.37,6.0,18.0,quan ngu hanh son
2900.0,100.0,29.0,5.0,20.0,quan cam le
6600.0,100.0,66.0,5.0,20.0,quan ngu hanh son
2990.0,65.0,46.0,5.0,20.0,quan son tra
3750.0,95.0,39.47,5.0,20.0,quan ngu hanh son
1735.0,114.0,15.22,6.0,19.0,quan ngu hanh son
3900.0,90.0,43.33,5.0,18.0,quan ngu hanh son
1289.0,120.0,10.74,6.0,20.0,quan ngu hanh son
5950.0,100.0,59.5,5.0,20.0,quan son tra
2550.0,94.0,27.13,5.0,20.0,quan ngu hanh son
2420.0,100.0,24.2,5.0,20.0,quan cam le
3320.0,65.0,51.08,3.0,18.0,quan son tra
640.0,120.0,5.33,5.0,20.0,huyen hoa vang
2000.0,100.0,20.0,5.0,20.0,quan lien chieu
